x	y	tag;Ioannis Rafail Bartzialis
-1	6.55	104;
-1	9.45	104;
-4	9.45	104;
-4	6.55	104;
-11	103;	
-8	103;	
-5	103;	
-8	103;	
6.625	8	103;
-11.625	8	103;
-1	20	103;
-4	20	103;
-1	24.33	103;
-4	24.33	103;
-4	28.66	103;
-1	28.66	103;
-1	33	103;
-4	33	103;
-3	33	103;
-2	33	103;
17.25	8	102;
6.625	-2.625	102;
6.625	18.625	102;
-4	8	102;
-11.625	0.375	102;
-11.625	15.625	102;
-19.25	8	102;
-18.65	5.1	102;
-17	2.65	102;
-14.55	1	102;
-4.6	5.1	102;
-6.2	2.7	102;
-8.65	1.02	102;
-4.6	10.9	102;
-6.25	13.35	102;
-8.7	15	102;
-18.65	10.9	102;
-17	13.4	102;
-14.55	15	102;
-1	0.6	102;
-1	15.4	102;
16.45	12	102;
14.25	15.4	102;
10.75	17.8	102;
16.45	3.95	102;
14.22	0.52	102;
10.75	-1.75	102;
2.47	17.77	102;
2.5	-1.75	102;
-1	8	101;
14.25	8	101;
6.625	0.375	101;
6.625	15.625	101;
-11.625	-2.625	101;
13.68	5.1	101;
12.08	2.7	101;
-11.625	18.625	101;
-22.25	8	101;
9.53	1.02	101;
13.68	10.9	101;
12.02	13.35	101;
9.55	15.02	101;
-0.43	10.9	101;
1.23	13.35	101;
3.7	15.02	101;
-0.43	5.1	101;
1.23	2.65	101;
3.63	1.02	101;
-4	15.4	101;
-4	0.6	101;
-21.45	4	101;
-19.17	0.55	101;
-15.7	-1.85	101;
-21.45	12	101;
-19.17	15.4	101;
-15.7	17.8	101;
-7.5	17.8	101;
-7.5	-1.8	101;
